city,station_name,time,aqi,pm25,pm10,pm1,no2,so2,co,o3,humidity,temperature,pressure,wind,rain
Jakarta,The Pakubuwono Menteng,2026-04-08 23:58:34,40,40,10,22,,,,,58,28.7,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-08 23:00:00,65,27,18,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-08 23:00:00,60,60,29,,80,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-08 23:58:34,40,40,10,22,,,,,58,28.7,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-08 23:00:00,65,27,18,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-08 23:00:00,60,60,29,,80,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-08 23:59:34,42,42,10,24,,,,,58,28.7,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-08 23:00:00,65,27,18,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-08 23:00:00,60,60,29,,80,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-09 00:02:35,45,45,10,20,,,,,58,28.7,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-08 23:00:00,65,27,18,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-08 23:00:00,60,60,29,,80,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-09 00:03:34,32,32,8,16,,,,,58,28.7,,,
Depok,Cinere - Nafas,2026-04-03 17:15:47,-,114,45,82,,,,,48,31.9,,,
Bogor,Kabupaten Bogor Leuwiliang,2026-04-08 10:00:00,-,91,51,,4,9,0,80,,,,,
Tangerang,Tangerang Pasir Jaya,2026-04-08 23:00:00,65,27,18,,38,63,0,65,,,,,
Bekasi,Bekasi Kayuringin,2026-04-08 23:00:00,60,60,29,,80,16,0,24,,,,,
Jakarta,The Pakubuwono Menteng,2026-04-09 00:04:35,38,38,10,21,,,,,58,28.8,,,
